id,displayNo,pageNo,reason,contentStatus,choicesStatus,hasVisualAsset
1,1,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
2,2,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
3,3,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
4,4,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
5,5,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
6,6,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
7,7,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
8,8,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
9,9,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
10,10,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
11,11,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
12,12,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
13,13,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
14,14,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
15,15,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
16,16,5,vision_page_extract_json_missing,empty,empty_or_not_required,False
17,17,5,vision_page_extract_json_missing,empty,empty_or_not_required,False
18,18,5,vision_page_extract_json_missing,empty,empty_or_not_required,False
19,19,6,vision_page_extract_json_missing,empty,empty_or_not_required,False
20,20,6,vision_page_extract_json_missing,empty,empty_or_not_required,False
