id,displayNo,pageNo,reason,contentStatus,choicesStatus,hasVisualAsset
1,1,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
2,2,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
3,3,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
4,4,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
5,5,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
6,6,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
7,7,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
8,8,1,vision_page_extract_json_missing,empty,empty_or_not_required,False
9,9,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
10,10,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
11,11,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
12,12,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
13,13,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
14,14,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
15,15,2,vision_page_extract_json_missing,empty,empty_or_not_required,False
16,16,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
17,17,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
18,18,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
19,19,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
20,20,3,vision_page_extract_json_missing,empty,empty_or_not_required,False
21,21,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
22,22,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
23,서술형1,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
24,서술형2,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
25,서술형3,4,vision_page_extract_json_missing,empty,empty_or_not_required,False
