assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/21_복성고_2학기_중간_고1_기출/q01-solution.svg,3ba9493f3f177491cc02be1224b1f4e9cb77defa824c9494947126d721e199c0,4454,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":15,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":20,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,1c5823e4bd052b8dbe60bf159f083d35bf894bbd8e6bf79131a7bc5f8ccbe87b
archive/assets/images/21_복성고_2학기_중간_고1_기출/q02-solution.svg,fd5c52380f608d530b426562733fa5323a56d06adc6e9c43868dd47a11c6bf9c,1818,0 0 640 280,,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":6,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":11,""g"":3,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,c57c5d84dbec9722335258b6f3cee94c6bd87ab5802d6902051f589de52cd107
archive/assets/images/21_복성고_2학기_중간_고1_기출/q09-solution.svg,73dc0fae0b4fb52c9ea325903e91ed51985801ee93300528418b9c1d15429808,1552,0 0 640 280,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":4,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":11,""g"":3,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,6c3884cf9d76748f6a3c9afe4bc725362443b50a6dd375f38d6901a9eb91369e
archive/assets/images/21_복성고_2학기_중간_고1_기출/q16-solution.svg,86c5dde7fa75056c1a71108655ea6be443230ee02e7df923a42067c7a1b780f2,7149,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":28,""polyline"":0,""polygon"":1,""path"":0,""rect"":3,""text"":32,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,9936ee999cd3c96aa0d3e71f675c05d0cd8430666a39d00f524b9ada940ecf61
archive/assets/images/21_순천고_2학기_중간_고1_기출/q09-solution.svg,d50d6f3ef13c657440b64045e12cb0471f581c1369fe1e6ccf4a73ddcb9d7a1d,6490,0 0 720 380,xMidYMid meet,"{""svg"":1,""circle"":10,""ellipse"":0,""line"":19,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":29,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,a63b3de26c4273be0dbe61f444105bf0c9fbf7d434175b18b71c5f56d0eaf66c
archive/assets/images/21_순천고_2학기_중간_고1_기출/q20-solution.svg,7e3a2b572513c978c8229d411d2413152486f527dda83cf2c25b0de0b985caec,4331,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":15,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":18,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,1619df6b98da417d8e05c3f9947aebc6a4935c054488df301feab956013d8541
archive/assets/images/21_제일고_2학기_중간_고1_기출/q18-solution.svg,10c93531a55813ee0318d3164ab2272e3ad618907303087f602cc9167768c2ee,5714,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":23,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":27,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,0974ad66b35c52922df5d8bb697f5691c90b852d730b770f396d2f5a920bda85
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q16-solution.svg,9753bc898af3b9f4c39b3eab44ce92c817a605d428663400ece263b803e5ca93,3688,0 0 640 300,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":16,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":15,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,e6d1bb4a1d6666884c847d5cd187a1190b6e3b9787830531624e7de68a77ea79
archive/assets/images/22_금당고_1학기_기말_고1_기출/q06-solution.svg,13ddd7999b84769216d84d405462c6aaeb8251b57148fff0fca74123e0c7cc4f,3568,0 0 640 280,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":19,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":14,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,8eef33f520697a62ac4b81f1933e13ef00cec44b4b0be6c146b498e726c08593
archive/assets/images/22_금당고_1학기_기말_고1_기출/q11-solution.svg,66e884eb2fa75fea5f248244984cce6ff5fad703fa24e92c7e7647f15ccc436f,7054,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":29,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":36,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,fedb2d0f9a204ffd86c51bf422216f8b7401244be934d106125219492f4c7233
archive/assets/images/22_금당고_1학기_기말_고1_기출/q12-solution.svg,024daddd840a23e9215aee23d651daf373c03be63ee6e4a8c4477e18ca9ca5f9,3643,0 0 640 280,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":20,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,70cc4cb801ba23b50de9e9c7779958f0a566f440bfe682a9a19558a88c6b998f
archive/assets/images/22_금당고_1학기_기말_고1_기출/q21-solution.svg,bac06d1a56080aeea72d333cb1816e2c826cc1aa809fd1baa41934a0e0ef3c75,4060,0 0 640 340,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":26,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,2d8d8f252dd0b5875ed2dcb82bdd9e72a4b5edd60c9205f0fe22b545c1308582
archive/assets/images/22_매산고_1학기_기말_고1_기출/q05-solution.svg,cf91be701d9fa061a62c8d28833c5cdfe1aac97f976af243d5f58be785908746,3267,0 0 640 300,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":16,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,af27a2961e8cf5d73e2656737fd98d4c0f061944d274895c7ec9964362474fa7
