assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/21_복성고_2학기_중간_고1_기출/q03-solution.svg,2e0be2b719b9b490837c2fb643c1df5caee5e5d661adb2b42650d5209f8dd9b8,5356,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":29,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":12,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,406cfb51d7ad9c1665ce14f553c7ce9064f0b60af6ec2b163e0f9699061e3005
archive/assets/images/21_복성고_2학기_중간_고1_기출/q04-solution.svg,18260f774be129efaa51e009b6deeb3225a019b84ac1d81a3718fcff9595c23a,4417,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":23,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":11,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,9745387472e4ed4a3fa3dc29dde9acf21c30da158955e9ea82a109dd2ed558f9
archive/assets/images/21_복성고_2학기_중간_고1_기출/q10-solution.svg,ce20c821dc70b2d8a0910f0d78178d4bfd2c87beed0e86421abdda130dbcaf4b,4694,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":28,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":10,""g"":1,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,581bb65ce506c2e470d5037caba6569d9efc8bd1a794b5c840ecf8d764f86d2f
archive/assets/images/21_복성고_2학기_중간_고1_기출/q11-solution.svg,5848443b395e549c764878e5277e1759c5f62f4f0241e4b87dbeadc0572ad4cd,6785,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":30,""polyline"":0,""polygon"":2,""path"":1,""rect"":3,""text"":15,""g"":6,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,62de7d96ce9e1801fc035cd150638d7f5d1f14dc6348b50e178c4dc48a857e66
archive/assets/images/21_복성고_2학기_중간_고1_기출/q18-solution.svg,96492308ee2002091fc758d7e26ce787df9736641fee0fc20ae256f8c4b62d74,5184,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":18,""polyline"":0,""polygon"":2,""path"":1,""rect"":3,""text"":12,""g"":6,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,039106835c61058ba3f542af87f68d3c4b25b0a857de852519bcc46f33f3808f
archive/assets/images/21_복성고_2학기_중간_고1_기출/q22-solution.svg,2dea69c5057651c92bb2712b0820e85fef2e6fe1581be2ae0935ff9b7b21cdee,6172,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":33,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":13,""g"":3,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,8060a3cc982b1bc08bc535d941b9db7a91dd6722e339dd2daf6cd5c885612f47
archive/assets/images/21_순천고_2학기_중간_고1_기출/q01-solution.svg,e79f338957e07b91276027c2f18e1197e1fbd63ded9dc778b833a756b025d308,4442,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":21,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":10,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,f58cedd1350c30451cc453277093416f4fe3462e72b83358d2d3c5765a08a5a1
archive/assets/images/21_순천고_2학기_중간_고1_기출/q02-solution.svg,e6c34cc8db538ec5009eacf3321ba0bae2034a59db0ddb5e106ca215ff43dd1b,2924,0 0 720 360,,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":15,""polyline"":0,""polygon"":0,""path"":1,""rect"":2,""text"":6,""g"":1,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,661976214e240358ec7aee45ee4a5d3b4fa4f10e0085c8cb91b436f0b00df5a8
archive/assets/images/21_순천고_2학기_중간_고1_기출/q08-solution.svg,032de7d758977786341289e3dcee0f5f7b5d3792c92e553950d3a778360ca42b,4400,0 0 720 360,,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":26,""polyline"":0,""polygon"":0,""path"":3,""rect"":4,""text"":9,""g"":0,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,e8dd4a342acbbcffd135194ea1d8b0f01a676b4122af82a2fe45d5165656f9f9
archive/assets/images/21_제일고_2학기_기말_고1_기출/q19-solution.svg,9c840f614a0d6428ac50e63fa15e7ad00ef9af4e6d7a7366797f862610028b6b,5437,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":21,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":14,""g"":4,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,f0c28154d1ce4b4260f2325e7451cd1633ffc393d1c2c2d9637a4f3c8d9b6ed9
