questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|4,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,4,4,4,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_GRAPH,무리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,,8d4cb1fb34f51cc3935ebac57e8e25e72f05a46174e078d559ee922b6522d8d4,4d09aae67317bdbfa52c4e9890d1287666d73886b4a97ebc201f1ea2f270ea94,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,6f74df437f2346affb9cbb8a3fc629a46084a67b6b8e5cd68ae18c4b3349a2b9,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,GRAPH_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_4,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|13,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,13,13,13,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_GRAPH,무리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,ccf866274b88f217a4137188060ec17e516930efae58cebb2151929eca1ce77f,d02f9dca9a49f2d178f8fa8f5a891bb53879998fca0fc7888e584b39ebc40f52,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,474064990823a5b785389db21a9d216fe8c0709ea26d15985f2068727180565e,assets/images/21_강남여고_2학기_기말_고1_기출/q13.png,cf68f7a964f39b9481034d6c2a76680797d1d9458b8b0047de9e2e990b812a1c,assets/images/21_강남여고_2학기_기말_고1_기출/q13-solution.svg,cf7d4a353a10eb1fb5556d1aa6d3b30c4783bb4f90263c1c340692644afae2e4,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,0aa7f67679357e3403339888e6b0e226cbeaced2e81762b24ff2c821f7d14be8,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|13,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_13,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|27,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,27,27,27,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_GRAPH,무리함수의 그래프,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|그래프,b5bba1178099ecf93e3f551f834deee78ca6e7f612b20691a7fc736371adaca5,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,51c5105a9a2f8d3ec1805fe2075875259331b58f0014e1e3c95000da8a31e71d,f962a51e0e79abda23696002c6b7c9b5ea105e3335ceb81e90168521be0ee648,assets/images/21_강남여고_2학기_기말_고1_기출/q27.png,e26635fdcc549920de3eef8e0c4d542627da6d5343748c40c842b8f3a5aa2781,assets/images/21_강남여고_2학기_기말_고1_기출/q27-solution.svg,2feea57661c5dd0bfe28729e8159a99a418059b09d75e6471755ffeb85cb160e,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,adad3df81507e4a3ac7e72c2ae97deedb4e17148c5f295f50520bbde391950d2,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|27,[object Object]|[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_27,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,제2사분면과 제3사분면,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|29,archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,21_강남여고_2학기_기말_고1_기출,29,29,29,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_GRAPH,무리함수의 그래프,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|그래프,fd73fc05cbed4d0fa3b53406afdcb4bea1142d90ddd03a95b5ef6f3d879b85c3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c014f94d53fdd4e2938fc4133a185dd70ae4e12ee972c0490257d8268b0b6908,99c42708e621333be4d1759ae62371b4a3cf76b8595a5508cf1302beb507552b,,,assets/images/21_강남여고_2학기_기말_고1_기출/q29-solution.svg,3ca33169a9c6f6ad1de223397b1d9fa96b40d272fd618812cde76e1236bae114,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,26a20b0cacced91fd1ee220e8ff0518bdf6a9f9f3329332a1c12418177392409,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js|21_강남여고_2학기_기말_고1_기출|29,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_29,f47712986bc3d52d0bb953cbfe9456e7c381d2184f9cc0cff851c467eb1eb6aa,true,$0\lt k\lt\dfrac12$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|4,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,4,4,4,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_BASIC,무리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,fe827cf519e443ed0197498c3012820cb4ce3188539c358990049a8cd5da0ad3,089e9ad75d1e53f0176287410930641bc497a7ce15eaf881f7096b9eb287d699,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,7f3161fba22517b9960e2800eef701b40afb50674d0106bdf20409904a2c0f50,,,assets/images/21_금당고_2학기_기말_고1_기출/q04-solution.svg,5d09248f5aa79b921efebe904714110918eafa08366d1e7996bbd580830dafc9,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,21ff9d5604244786187d82526603d2c9aa69f72d7d35c37a9c4761513c94b2bb,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|4,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_4,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|12,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,12,12,12,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_BASIC,무리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,,46e7d9e885703f48413ed45aee678274b0869c2532fedebb1b75bc456e71900c,d54721b947ba4d6fd39b1c2435432fac312cd805b4406d948f5c2a0a9887f733,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,b7f90ce3504dc770a06bb9ed99eacce6c3ee54291ff71cb33576b030c4c14bdf,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|12,,INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_12,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|18,archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,21_금당고_2학기_기말_고1_기출,18,18,18,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_GRAPH,무리함수의 그래프,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,4171f6f8797b5ba42cf0cddc9054a08a7d9760dfeb790af7ddcc6dd14b58654f,f6e741ab993f53a938d02e9fe76e1cb3c39c636747a64d47eb93e87bf95761be,d41ea6521f53fb3dfa10cf72e2932f4405d9c999fa422cdc840d25d57e90dd34,13013e4ddede415f942339699c9f9b1e15ae429c35d12a74da685f58b1e4d86f,assets/images/21_금당고_2학기_기말_고1_기출/q18.png,b47156d5956550e57bc6050bcea3a7d5182babcf128e1ae83c48a58b8b6b8c62,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE|TABLE_OR_MATRIX_STRUCTURE,,GRAPH_CANDIDATE,PROBLEM_VISUAL_PRESENT,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js|21_금당고_2학기_기말_고1_기출|18,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_18,f57a459d83644ea31d0d9f4c030f95af6a8a43d526e99190686d9d69778df173,true,④,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|4,archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,21_복성고_2학기_기말_고1_기출,4,4,4,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_BASIC,무리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,4b726ecc02bf6e1bb4afc7226bbe0ac0f6f612cd674838aff93caf7458fba548,6f70a1fc6e97d979c3ff06d95c35c566515a896c317c33dad3adddbeeebd5b60,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,1890a188430eb6156f5c2ccb9400e8dc542d215bf345ea30f1e21fd356bfefd0,,,assets/images/21_복성고_2학기_기말_고1_기출/q04-solution.svg,771e9bdc13f3215b7b8f984762a12f0270d36dd7b994870cee24201ddf41214d,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,bed6bf7b40c0f55f1d03d36d895a0591e53164f3e7429876e3970b22fd7ccb32,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|4,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_4,460e78d33f4c0274f5c317b925257e84504942f41ce73129d715ac3ee36a57ce,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|11,archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,21_복성고_2학기_기말_고1_기출,11,11,11,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_BASIC,무리함수의 뜻과 계산,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,10f33d1d343932efdc5e8c2efa215e3b20ff9da63ac78d44d26721c25921b51e,ff782081a4cc25de5ebd8fdb3b10e93e0a2a8b181fb4cabb15c6d4c8f83c7224,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,bbac0e58a1a61ab2eace2d5f2bd49fd3c37fd293c7690a6c664f5507964e3c08,,,assets/images/21_복성고_2학기_기말_고1_기출/q11-solution.svg,2f6b4fdb75547775cd8e04326c85bf49a042c65f2a9869d2a88674a112bd2b44,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,37a193e7a994d2bb63a3469883516e3f27922ca9afae7bcf578284b78a5b5cb3,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|11,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_11,460e78d33f4c0274f5c317b925257e84504942f41ce73129d715ac3ee36a57ce,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|12,archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,21_복성고_2학기_기말_고1_기출,12,12,12,2015,수학(하),H15-SB-05,무리함수,5,H15-SB-05-IRRATIONAL_INVERSE,무리함수와 역함수,category_or_cue_inferred,complete_category,객관식,grid,false,그래프,22f0e8b10cf0b3a1d88af8df23604fdc404d7f128798722d5fd57028905e83c9,91debfa41a01b920730139d193e82e515073d3ada2a88ba025c2314e6f8ceed8,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,c5bccd695f11dd099c1e8b799716e3e1fdb34a841a411f12aa2645bc9dc076cf,,,assets/images/21_복성고_2학기_기말_고1_기출/q12-solution.svg,721fd185b7d8507748197a2c364bfe7713458ed4e10946bbdd31e0116f095cd3,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SOURCE_REVIEW,SOURCE_REVIEW,GRAPH_OR_FUNCTION_STRUCTURE|COORDINATE_OR_GEOMETRY_STRUCTURE,,SVG,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,SOLUTION_SVG,NOT_STARTED,,,e599801b9c4a7ac6a6405a7b8f0f844f3703a51bb7392ee9d61c246df388ba3a,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js|21_복성고_2학기_기말_고1_기출|12,[object Object],INDEX_RECORD_PRESENT,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_12,460e78d33f4c0274f5c317b925257e84504942f41ce73129d715ac3ee36a57ce,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
